"Source:","C:\Users\maksym\source\repos\Dohle\Dohle Ray v2\ray.kicad_sch"
"Date:","18/10/2022 22:35:11"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","33"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BIAS1, ","1","50k","R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Bourns_3299W_Vertical","Potentiometer",""
"BOOST1, ","1","BOOST","SW_SPST","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","Single Pole Single Throw (SPST) switch",""
"C1, C5, ","2","100n","C_Small","Capacitor_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C2, C4, ","2","220n","C_Small","Capacitor_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C3, ","1","47u","C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor, small symbol",""
"C6, ","1","220p","C_Small","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C7, ","1","47n","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C8, ","1","22u","C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor, small symbol",""
"D1, ","1","BZX55C4V7","D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Zener diode",""
"D2, ","1","1n4001","1N4148","Diode_THT:D_DO-15_P12.70mm_Horizontal","100V 0.15A standard switching diode, DO-35",""
"DRV1, ","1","500kLin","R_Potentiometer_Small","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","Potentiometer",""
"EYES1, ","1","15mA","LED","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","Light emitting diode",""
"F1, ","1","<200mA PTC","Fuse","Capacitor_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm","Fuse",""
"GAIN1, ","1","500k Log","R_Potentiometer_Small","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","Potentiometer",""
"IN1, ","1","In","Conn_01x02_Female","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"OUT1, ","1","Out","Conn_01x02_Female","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"PWR1, ","1","9V","Conn_01x02_Female","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","J201","Q_NJFET_DSG","Package_TO_SOT_SMD:SOT-23_Handsoldering","N-JFET transistor, drain/source/gate",""
"R1, R8, ","2","1k","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R2, R3, R10, ","3","10k","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R4, ","1","47k","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R5, R7, ","2","24k","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R6, ","1","470","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R9, ","1","100k","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"SW1, ","1","3pdt_footswitch","3pdt_footswitch","footprints:3pdt_footswitch","",""
"TP1, ","1","VBias","MountingHole_Pad","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","Mounting Hole with connection",""
"U1, ","1","TL082","TL082","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","Dual JFET-Input Operational Amplifiers, DIP-8/SOIC-8/SSOP-8",""
